ds,yhat,yhat_lower,yhat_upper
2023-01-23,14.338980142855355,-304.19271462989917,336.3424130007541
2023-01-24,31.682796441701,-295.5926623987019,355.88544512252093
2023-02-13,-45.94308220752841,-338.99717427857314,309.35590280916995
2023-02-15,-50.317141278241245,-368.28386394827106,281.3686476261665
2023-02-19,-5.814725565907416,-308.0876639992291,319.46551089972706
2023-02-26,47.15802952784928,-267.44163710355724,372.91027703910487
2023-02-27,32.45749062316656,-315.39426793356506,371.33535184428155
2023-03-04,69.20738211543119,-260.1327178969424,391.7896440551702
2023-03-06,89.33239668736866,-213.60137268632442,437.5835671982243
2023-03-10,94.82762610589346,-238.82874618655026,427.5532161597737
2023-03-14,130.56150495460275,-213.92748741214805,462.2186659336902
2023-03-15,105.55886348177404,-237.74267503243775,458.61820430400525
2023-03-16,151.4278524168402,-188.46833913892488,469.26126731826736
2023-03-18,99.48213623603674,-202.42364982763715,453.2742064980532
2023-03-19,126.43364843957863,-191.32163422903227,440.7495776067672
2023-03-21,113.99368336084552,-190.36920127571275,444.046293744186
2023-03-26,105.02082928609005,-229.27441786400138,430.1113956697217
2023-03-28,96.11345253365788,-254.88746769100007,436.5491058108739
2023-03-29,71.34015340037689,-270.4166198323695,403.0907658911797
2023-03-30,118.79417803344546,-220.90269393426937,438.8147872650061
2023-03-31,65.36487465681176,-252.802632177539,385.65267965732846
2023-04-01,73.7890062977048,-259.7622693131182,409.85593116465583
2023-04-02,105.87550234084657,-210.55181669971435,431.11196368452374
2023-04-03,84.96721467106849,-245.4354667661919,421.2254420193123
2023-04-04,106.2956146182325,-212.6249966979578,442.16228483578186
2023-04-05,86.10510025853532,-243.15822209689767,431.4469225011242
2023-04-07,88.5404301080621,-221.67782976181002,420.11456237238394
2023-04-09,135.7451200881996,-170.72490579193675,460.3318519936224
2023-04-10,117.31576413946964,-228.25066766798966,431.74932764594047
2023-04-11,140.45329863194942,-195.74043309516796,459.60390870897874
2023-04-12,121.35483626873508,-194.38988296595463,440.7552818195393
2023-04-14,123.72609219626557,-197.17039596560554,451.80072866736225
2023-04-15,134.6031321631127,-220.76878347979314,458.77595567779787
2023-04-16,167.8985525199383,-157.73361810254707,498.3734603190606
2023-04-17,146.92171502302452,-187.6193331269236,467.88059254115814
2023-04-19,144.11872834880077,-183.62725957568853,464.31395814228705
2023-04-21,137.90784347906867,-189.04785214769953,449.1739048884031
2023-04-24,146.85444354079743,-174.30514298518736,499.6223901537172
2023-04-27,178.98797644322624,-154.56178428227832,507.5653593058957
2023-04-28,121.1240350401682,-198.85870255688693,472.0129772158261
2023-05-02,136.91611514806146,-190.69571188041942,489.07293352494503
2023-05-03,109.31479210501806,-204.18636278023405,426.09344294549715
2023-05-07,129.75820625735966,-175.92219405577293,445.5986147558574
2023-05-08,104.95078055808759,-213.32704587240707,442.7067365216753
2023-05-09,122.36610867603798,-203.05050351916563,453.5682042581881
2023-05-10,98.3166960320591,-223.28895641926988,425.160938759711
2023-05-11,146.40039822233052,-194.9868169549211,475.6251014466085
2023-05-13,102.16767925949637,-225.57823771227723,414.1660088214935
2023-05-14,134.30471014535834,-163.7967177912479,453.706814211835
2023-05-15,113.17126618526399,-218.56334037359537,412.79252193965357
2023-05-16,133.9691945329293,-176.08794798221717,445.11913771640013
2023-05-17,112.92220065723384,-221.03591042939124,447.15970694051816
2023-05-19,112.63440994908768,-213.2329438569555,451.05132852204355
2023-05-20,122.81307170610603,-196.98996755407774,454.63993882063335
2023-05-21,155.82632923526592,-181.5214475539003,493.80285344418996
2023-05-22,134.97164930093376,-205.92198892479337,449.39764152617886
2023-05-24,133.55059157016086,-190.6937531795287,458.49144167325784
2023-05-25,182.80717818209635,-120.25436644000933,507.48231098106453
2023-05-26,130.07213384201322,-225.72627802580374,472.7256135593886
2023-05-28,168.62526806613164,-152.23505926206522,481.84230758432074
2023-05-29,145.14262700310954,-202.12125196816712,493.8541599453653
2023-05-30,162.941438135889,-161.74977923012824,492.8682694415002
2023-05-31,138.38720443438947,-209.28437637556905,461.6173957191494
2023-06-01,185.16157144876453,-162.5438067106915,503.65904689366874
2023-06-02,130.21401978443373,-184.57337286257467,477.43262473946766
2023-06-04,165.55118004120368,-154.4100183674407,500.32009650691595
2023-06-05,141.2375206448196,-178.670626671172,462.3024059913986
2023-06-10,138.07748348400165,-191.01874566335337,461.7269928009027
2023-06-11,170.37647311968558,-177.30478228202105,482.76560507923926
2023-06-12,149.76064722958876,-178.6738917574575,488.1104777300873
2023-06-16,156.76280719670345,-157.97120589742414,475.88923851680215
2023-06-17,170.51871026231373,-164.01206567496857,531.79885849439
2023-06-18,207.838942842355,-103.07890573917444,537.4843198724817
2023-06-20,218.17897904018122,-97.22135164108676,575.1847449478478
2023-06-21,202.54894779073445,-105.25603074142222,536.0196231576916
2023-06-22,258.5853511892101,-60.74800873063942,571.3529037955457
2023-06-25,266.42367573613546,-45.35398665010678,597.1542531065211
2023-06-26,250.31230407636446,-81.68513109960583,595.8405355888037
2023-06-27,275.2008612584187,-70.55263459155474,569.4847638693165
2023-06-28,257.26656652124393,-86.41656685635019,601.9006659629042
2023-06-30,260.17762831806783,-88.37063344483552,609.5556855247095
2023-07-01,270.4436994662175,-42.88417256811977,603.9249780182605
2023-07-02,302.5685784151186,-25.12258897007541,638.6737635905215
2023-07-03,279.89638748937585,-64.71082867723779,606.2635606934433
2023-07-04,297.70320119898474,-31.57287619571255,621.0824876675784
2023-07-05,272.3206535546069,-56.887499198935444,622.3480596755177
2023-07-08,262.65825702656565,-89.54872861692833,584.9858272499184
2023-07-09,287.5963652500583,-38.0438163416541,623.3287355942253
2023-07-10,258.2419642787418,-85.8721974195242,574.8182811901042
2023-07-11,270.03370996607,-70.00318964895763,576.8255494391783
2023-07-12,239.45146188762595,-84.55969380936335,564.1646194981349
2023-07-13,280.285491600084,-34.735440914414234,617.4252519545752
2023-07-14,219.58567549447324,-98.69590707360724,556.2762398471722
2023-07-15,220.26700457839658,-139.03278640554925,503.90392070233037
2023-07-16,244.3297254378982,-69.31743578674528,567.4522884346039
2023-07-17,215.31611468362712,-120.40865043336606,537.1905973518204
2023-07-19,200.80549779720118,-109.65980659470748,534.9984039063643
2023-07-20,245.47724221886665,-81.72464144330085,585.0111019660649
2023-07-21,189.63050243396032,-157.61013668916397,527.9764286904632
2023-07-22,196.05884031770603,-126.14925140356408,520.7522668919521
2023-07-23,226.61723605769456,-87.66575151490993,582.0487738286014
2023-07-24,204.68228627698673,-141.77874254780428,522.3283080919628
2023-07-25,225.50574117679685,-101.0402167918175,560.3569398295832
2023-07-26,205.33801940088202,-110.64155815700107,543.3991183957497
2023-07-27,257.7028539030944,-108.33324735458649,569.0722550044226
2023-07-29,222.8828556272311,-98.51622877650479,565.1461641640933
2023-07-30,259.95709894510196,-88.39623903775157,564.1409324300766
2023-07-31,243.7755204202357,-98.79689587811255,567.9903000366857
2023-08-01,269.43151928057495,-61.19768658714315,597.9219818096076
2023-08-02,253.03986964933677,-80.81524786766005,569.0496145927484
2023-08-03,308.0151175561168,-13.32985046292017,643.1173470248261
2023-08-04,261.03034398389593,-48.32112315234267,575.64863162122
2023-08-06,310.47154546797645,-21.924203592525057,622.6671395112965
2023-08-07,291.767637008642,-32.93430231753923,622.6868099229671
2023-08-08,313.6680290043562,-7.9830353059050045,653.618780964708
2023-08-09,292.3744200618275,-35.13858506393705,597.4464739863411
2023-08-10,341.41930665593344,-2.3649998975159585,673.6813630622651
2023-08-11,287.6219989820041,-51.54956992169277,612.4591032900272
2023-08-12,293.70041936213863,-45.53304762057412,626.5860082800382
2023-08-13,321.496389926085,3.0811356035266777,649.0687317338495
2023-08-14,294.43714360519266,-39.35187769637697,615.6478043326416
2023-08-15,307.88811683730285,-23.247084429508597,635.1634883225792
2023-08-16,278.2741699136233,-60.57613011382069,607.0847922503589
2023-08-17,319.3503428954152,-13.370393396312293,657.3744032958834
2023-08-19,257.6014756983631,-61.89342443646871,586.3948863494279
2023-08-21,248.120473904778,-74.70403038105151,558.0755785480028
2023-08-22,258.2845783122905,-64.18411860158837,561.4845315654926
2023-08-23,226.7510081613202,-86.41699884320417,531.7481508280898
2023-08-24,267.34779175518185,-67.25444255353254,570.576428070357
2023-08-26,209.0713601985113,-117.25954931835422,545.7547738620246
2023-08-27,235.11020840582913,-111.47506357035348,571.0094857712771
2023-08-28,208.78007799974597,-100.53991614188757,552.7107470784952
2023-08-29,225.4727009992738,-81.52661527777433,557.401815227946
2023-08-30,201.57518706563772,-101.19065362063783,512.6313351644311
2023-08-31,250.74096696783798,-51.613658044910714,587.3119337123882
2023-09-03,247.70046405656026,-91.61407032082708,575.9167891535138
2023-09-04,231.47869859668685,-100.4350644012179,555.0508741048938
2023-09-05,258.0522588156363,-78.99561889955373,584.2458041793245
2023-09-06,243.55719163906969,-76.9955539938601,576.3228427433784
2023-09-07,301.4047576203073,-5.281488092404163,658.3379627730135
2023-09-08,258.2388445730573,-65.07416916856307,580.0393650856615
2023-09-09,276.551149135098,-25.765485171762762,614.9963012016743
2023-09-11,305.4351449964059,-34.17426359252852,632.0529640127542
2023-09-12,334.14258311423276,13.658136648364945,671.9054926698811
2023-09-13,320.08885279306094,-17.787375354337332,656.6524025813026
2023-09-14,376.6429154050467,9.529955593760532,687.8379571364801
2023-09-15,330.4471180578405,-3.098503550564125,652.6687089415253
2023-09-16,344.03273963109143,56.047145623204734,665.3029239407754
2023-09-17,379.0496937721007,35.975819648759405,706.949696439386
2023-09-18,358.7321499000973,31.49462656386591,679.9577990808044
2023-09-19,378.2559120740185,57.38851815076003,697.2640529798241
2023-09-20,353.8641580299656,35.541232362478574,687.479140907064
2023-09-22,340.9741354701237,21.099004333129233,671.743419155748
2023-09-23,342.1485740516176,7.5412826688965815,662.7378666859412
2023-09-24,364.58665531726604,28.21695417967551,700.5248484787525
2023-09-25,331.79924481289316,26.787071410646448,686.6321122828575
2023-09-26,339.2383106293584,20.669032235659845,674.376725918594
2023-09-27,303.41799278078355,-21.603814300153626,665.8563905030478
2023-09-28,338.17824753767593,23.751821733917527,677.2624625970753
2023-09-30,263.8012257129501,-63.18662981067617,584.3277595044871
2023-10-02,242.20169722552984,-89.38263547586662,579.3182875520735
2023-10-03,246.66233321985334,-85.50281212649028,572.2766046468346
2023-10-04,209.73483288992816,-103.90914711472219,526.257483993692
2023-10-05,245.29091312139718,-92.77430491728472,580.2330159874617
2023-10-06,180.43806628018024,-143.5667576627144,520.4769052188943
2023-10-07,178.12440608959002,-176.48276553494964,514.0968763541725
2023-10-08,200.35877583312015,-122.07992197513823,529.1400743167316
2023-10-09,170.6681054929367,-154.74472236474801,490.24187659707553
2023-10-10,184.44805086366267,-138.47666619574989,513.8130000630271
2023-10-12,205.2213656835724,-135.41302637582265,522.4116746058627
2023-10-13,152.72196391236488,-162.73668658763808,455.4977772724586
2023-10-14,163.2712648717647,-160.48382069427865,466.4617507236652
2023-10-15,198.6061339567231,-137.37223525484146,498.1427455045796
2023-10-16,181.97804327950513,-131.31592601760258,505.4875559960269
2023-10-17,208.5099280966706,-119.6766892853384,544.2253420029516
2023-10-18,194.3229740889013,-152.85620633914064,515.0479479081831
2023-10-19,252.81975454420106,-71.45084054363862,582.9373255311434
2023-10-20,210.62674738177054,-109.14286047746157,560.8330774429944
2023-10-21,230.2258781319378,-125.87178573143203,558.4192958506817
2023-10-22,273.17961237826773,-45.12906362786792,600.529617020451
2023-10-23,262.598119131133,-57.10380640436289,579.8516240304006
2023-10-24,293.4989608053252,-22.453642820422978,604.9896164359133
2023-10-25,281.93586557707613,-38.45479351818301,638.4282883574886
2023-10-26,341.2776104429642,-2.2443904009281845,660.5448411379654
2023-10-27,298.1668026300679,-23.314553637011095,657.207403282255
2023-10-28,315.1346667752018,-21.95827017390537,656.6044014238711
2023-10-29,353.8299340384798,4.709422001065219,655.9391090113683
2023-10-30,337.48362944758964,33.13621583570361,683.4013657118769
2023-10-31,361.26563363336334,21.754687402350957,700.6185262310535
2023-11-01,341.4096573974511,10.312968446596683,655.4115044081778
2023-11-02,391.48775453225534,67.96468844853088,729.3832111543794
2023-11-03,338.3642695469966,16.175075947968367,665.9852755083616
2023-11-04,344.80544581160285,37.31533517894928,686.9546191040026
2023-11-05,372.7029145204831,55.322857014604395,690.8945942330132
2023-11-06,345.53298806390836,21.03395801043068,673.7282185477627
2023-11-07,358.70776125999555,9.208817381285236,693.8876698649764
2023-11-08,328.706809975961,-25.219716341586192,646.7012123187715
2023-11-09,369.31059665630954,40.75402287860435,702.0354090122502
2023-11-10,307.5858575673453,-34.513047774835464,617.8864169593481
2023-11-11,306.4790274725504,-11.244162368150295,646.0585057200169
2023-11-12,328.03614186061645,-5.993680221809918,646.7678277119273
2023-11-13,295.8591840624163,-59.4682328181545,624.348204292932
2023-11-14,305.4549350295203,-35.052396812270906,627.9866133725686
2023-11-15,273.3531255954423,-65.20551974786068,602.224685971277
2023-11-16,313.3751544066941,-9.155389937137945,657.3152749481811
2023-11-17,252.58337956689087,-68.68745854892634,593.8437529975699
2023-11-18,253.88729247582737,-91.61447461310274,565.6652117656574
2023-11-19,279.26484745255595,-37.84603237128085,620.4049545602378
2023-11-20,252.220893574365,-71.20687264645234,575.9743894412086
2023-11-21,268.1387047834822,-65.81667705574245,609.5767804546159
2023-11-22,243.40133420865004,-60.730232126252844,575.4470718632417
2023-11-23,291.6639718649268,-36.12735240099673,602.8521678779538
2023-11-24,239.80722185638137,-97.83987457476508,565.6626591047175
2023-11-25,250.54751007600237,-80.20554201185676,566.0056598329893
2023-11-26,285.6627953701723,-50.48191041028748,601.5632865378435
2023-11-27,268.5271383381147,-77.500657446504,604.662313974708
2023-11-28,294.25147873149103,-73.92574095612581,617.3888542007586
2023-11-29,279.0243424558253,-32.12767113260427,630.5088557457046
2023-12-01,292.83779349097415,-52.56805421824495,613.855623239071
2023-12-02,311.1510496004373,-3.3735121738520526,639.6223650600476
2023-12-03,352.9003773723563,11.367449449718423,662.2358561239238
2023-12-04,341.2764593677757,21.395061776166603,646.131926618101
2023-12-05,371.37420843249595,59.27882234343153,702.7063771513859
2023-12-06,359.31955945726344,19.749057230277398,681.1873143121218
2023-12-07,418.54645232652655,90.428001669097,741.391614537851
2023-12-08,375.7538434278914,53.453811308155814,721.7024970071207
2023-12-09,393.5189001242619,68.72458779275048,707.4299531443227
2023-12-10,433.52451730408114,120.68174671994814,758.8770381017234
2023-12-11,419.0229900293849,71.02822055246514,761.2094537956535
2023-12-12,445.19174989450437,93.9722316416139,782.9555413147745
2023-12-13,428.25782781793237,112.6675158986845,753.9940855135228
